,0,1,2,3,4,5,6,7,8,9,10
2,0.004538128307832512,0.008586892804738233,0.014297931066344804,0.01880988697121444,0.022259660788350066,0.025394866134839322,0.02843750135768519,0.031296437138592426,0.03375658331333942,0.0355436518131933,0.03762112655790051
5,0.01283399616561054,0.015998928812568147,0.01782964633858375,0.01961048998018533,0.021466320021312213,0.02330815978895706,0.025029882961046135,0.026433122191404146,0.027357482712983106,0.02974960183661024,0.03093597494003253
11,0.0061319351139182965,0.009683512207020795,0.012986720212745384,0.01584148384629369,0.018385819148669436,0.020252216397396383,0.02210881041013013,0.02346301159526376,0.024804857384582046,0.026033301171885292,0.026398288612937137
12,0.008158635506782419,0.010440779683585255,0.012740814984176563,0.01508403013601467,0.018471638530794476,0.020514957569176873,0.022405893964405732,0.023843908707226302,0.02501001160268268,0.02561385378186365,0.02773274342449128
18,0.0059107398260180855,0.009250458570795983,0.01244275866135025,0.015005306129800222,0.017915568983057906,0.020227561348011958,0.02334439857361137,0.0251289660913826,0.027244136374642625,0.028714387058804136,0.03011706159687555
21,0.013919581547575222,0.022074336086904456,0.0319651894362718,0.035158073387231425,0.03860896625467336,0.041595656753264265,0.045413587046345905,0.0480212739091227,0.049605478857869256,0.050453274364869016,0.05109701400218203
24,0.002601462337077698,0.005243811140025145,0.007610315379166899,0.010085514982761667,0.01269369965206868,0.015735869352173304,0.018195973326427084,0.020070460274211777,0.02164781671820526,0.023045753022315818,0.024339408992031242
25,0.004304548842883893,0.008228239120791736,0.012964567993583032,0.01553684894432783,0.018520218148111,0.02432010994344913,0.026830725210731488,0.02922812973162281,0.03176578891838577,0.033378034589944816,0.03453508274807504
27,0.005206087067274323,0.008520819442701555,0.011444155420680557,0.015206557632422624,0.018083803016932687,0.02065738596676281,0.023441268564472373,0.02505567693900823,0.026550421069938324,0.02804168365791393,0.02896493871666017
32,0.010247456061467264,0.014312366468448245,0.017261022067221132,0.01963181112155743,0.02147951634180023,0.022966604751912367,0.02426817833047068,0.025303085676649184,0.02622029788089375,0.027155133045652202,0.02757309291532717
34,0.008244073956661602,0.011773486014560408,0.014204305008600704,0.01620725312000315,0.017680975092813855,0.021009716285948943,0.023115045675401902,0.025711591564220315,0.027951341496787352,0.029635439167017275,0.031120409136563554
36,0.005588758655451276,0.011141328366400471,0.013981066146086407,0.01675964863230106,0.01943172061042464,0.023660733758516517,0.025976974630167238,0.028028648550425195,0.029357929175414355,0.030670723541108336,0.03096042101986951
37,0.008070340521899477,0.015193862695058069,0.01917304911480766,0.022170582784719617,0.02618224922525325,0.02991773690838373,0.033024697588465046,0.03587213975932113,0.03749700966227143,0.03867657603171881,0.03932347524348345
38,0.0038472016270652,0.011223898861540071,0.015454536469512226,0.018592188877551874,0.021304924088392463,0.02341116567405721,0.025054138210409582,0.026564478193562446,0.02794121648454595,0.029192477557982488,0.029662227164453436
40,0.005040738627637542,0.007842474433145008,0.009803172216562461,0.011605250780299392,0.013330962763373866,0.016365166077842774,0.018390070609463516,0.02026733590584351,0.021866900799414335,0.02276300260597086,0.02371541629890117
46,0.0038683520444439123,0.007345051836592731,0.011046357014798391,0.01471226030502193,0.018839715707021032,0.02233570830170628,0.025193351415401577,0.0275639589203589,0.029542360666078515,0.03121801084157383,0.03236434363687768
54,0.013744053195712702,0.02107584484115943,0.026630054401308834,0.03761535195042709,0.04300087058498936,0.04674542811270477,0.05061058739256519,0.0543189328954643,0.05611305475866579,0.05714399721484731,0.05800899722057751
57,0.006221616996718082,0.009638118981480925,0.012819068004494838,0.01574400020447786,0.017997221517812023,0.020508317821182342,0.023096352915670804,0.024839989616981195,0.026494803592979066,0.02786791731461924,0.028704701802248156
67,0.00802516329238434,0.01298846627681216,0.0177569970566418,0.020863931136291702,0.023813065102199826,0.026669435427814747,0.02939226415334195,0.03182050439485018,0.033312053676444076,0.035291012569757974,0.03666448584395976
70,0.005898199754073241,0.010428795489590414,0.014650588742685544,0.016630071595956863,0.018351950922720794,0.02016515849845779,0.022454347265992936,0.024114938668572172,0.025531140185655166,0.026902179777796298,0.028109140817174527
72,0.01119396024076691,0.01637577854704786,0.020227102081530113,0.02239852251658847,0.024179816002564802,0.02640294530728715,0.027581321973649153,0.028789102330470828,0.030372804263915087,0.0317226626120255,0.03283991419672494
77,0.005014863575143913,0.007580323496872321,0.010403855973914355,0.012471682969945608,0.014568257179066624,0.016864732685663353,0.01834235016678687,0.019213243047279116,0.019860934600565927,0.02034192320546524,0.023110736141204402
81,0.005511640146660168,0.008719031581737924,0.012392124314415054,0.015383429629074352,0.01844829903939782,0.020977294493385257,0.023584296512397906,0.026062024138989393,0.02914257185314506,0.03145804379303596,0.03265226792337472
84,0.004658651799918867,0.007471209242668753,0.010628412156080014,0.013438475446143627,0.01565899141406102,0.01770675610001793,0.02018798985590997,0.02156955268788119,0.022953372562892205,0.024134808804599617,0.025223573335982685
87,0.005222010840489788,0.007586296289803229,0.010824602850584508,0.013280233165648525,0.015491817399928998,0.017465898255229373,0.019397386301736597,0.020871096953565926,0.02204276921444015,0.02246789917784564,0.022787053822046266
89,0.002647352784902579,0.005973060883597059,0.008704139738241468,0.011382737845024415,0.01333042562141673,0.015159735506425687,0.016402675788093957,0.017519440042489287,0.018251357643296773,0.018958912555870122,0.01948368954289814
96,0.002410942114589254,0.004345185263431528,0.006260809976774584,0.008363163098249915,0.010476127569194138,0.011690496532183903,0.013059616160943865,0.014065400764831426,0.015053204029597422,0.015908026194949798,0.01651285875784636
102,0.004711539423870148,0.008220697559011336,0.011268322793430041,0.01639102367028178,0.020270531707295425,0.0232162731869473,0.024833549095638507,0.026399968040583754,0.027678542340139556,0.030301580804957262,0.03144603446344452
