,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,score,acronym
1,0.010567033276285276,0.02015577209093866,0.02519528518744163,0.029044655343710923,0.0324020814525221,0.033602342008706154,0.03445916562566853,0.03445916562566853,VAL
27,0.019490880708132874,0.03341206959185394,0.04248391626808079,0.0483213157586736,0.05306136711210885,0.055208894318240276,0.05651407157867827,0.05651407157867827,VAL
38,0.024662598438109362,0.037536300982301984,0.04894722996235512,0.05654304952102418,0.06279623029198944,0.06511283190894157,0.06599043821819572,0.06599043821819572,VAL
47,0.03047529187493514,0.05721767463049621,0.07216225324054992,0.08515835061555799,0.0908314941148648,0.09334334109611031,0.09428517261891478,0.09428517261891478,VAL
59,0.02031306556206358,0.03006558979185714,0.035425357100600796,0.04049600731667047,0.045174697109383266,0.04671543907203579,0.04732525114999675,0.04732525114999675,VAL
64,0.03580129019819345,0.04695019847196891,0.05730059212394323,0.06465091334914341,0.07117038849604063,0.07279106351717657,0.07338783864850584,0.07338783864850584,VAL
74,0.037408827947596146,0.045728893797937764,0.05025251141024112,0.054135823098440894,0.057413881036973535,0.060000498945071756,0.06150054309704234,0.06150054309704234,VAL
81,0.05388731916446643,0.0666873626025769,0.076642165586155,0.08365548071550999,0.08793631203243335,0.08942647619108679,0.09041560809558347,0.09041560809558347,VAL
87,0.022088277343998652,0.03638803463861817,0.04603955634650503,0.051434952749744633,0.0536337251596134,0.05424204711169622,0.054849603206482245,0.054849603206482245,VAL
90,0.0323393090381362,0.042923256304149615,0.0500995770196726,0.05423767559197479,0.05683201081439926,0.05773652059321954,0.05797073690048993,0.05797073690048993,VAL
106,0.016003851697734328,0.028357541391980212,0.03674766964574616,0.04212190318994746,0.047243983797440214,0.049219972972554316,0.04987078344905249,0.04987078344905249,VAL
107,0.034589745371420566,0.05341455033981213,0.06336199523932506,0.0670845816940453,0.06992426000598262,0.07187024412213816,0.07231232732908421,0.07231232732908421,PO
112,0.08121256342076077,0.09834837158356513,0.10597389681653369,0.11368659135836146,0.11975003651317662,0.12029736081602171,0.12053737389169339,0.12053737389169339,VAL
119,0.058013598569115477,0.06873634477246227,0.07738562732357679,0.08069172461639806,0.08322034140830237,0.08349588207867809,0.08366750531911582,0.08366750531911582,PO
120,0.026078160702191155,0.05128938645085379,0.06631683686121781,0.07923172688825908,0.08833458878707579,0.0952899206866975,0.09578743347746943,0.09578743347746943,PO
121,0.016560595909585363,0.02485021512774932,0.0319017637824377,0.036890044540605293,0.04039896618293548,0.04254623861155005,0.04281341156828944,0.04281341156828944,PO
125,0.0203435313836281,0.029596866150394474,0.035776662476633914,0.03991559955232227,0.044700632921040095,0.04850368963268181,0.049365081154227,0.049365081154227,PO
127,0.07482228844275196,0.08364901414429637,0.09139716241878415,0.09645654086296174,0.09977303982773311,0.10009263365126586,0.10029210356634843,0.10029210356634843,PO
128,0.02212495884878063,0.03564233565524433,0.043132925949821876,0.04978004034089201,0.055882206487625985,0.05803100370256675,0.05930738362158605,0.05930738362158605,PO
129,0.038827977799980484,0.04947071174463846,0.05889503368962645,0.0667999359871434,0.07100570366026493,0.07153301037123272,0.07192445392269575,0.07192445392269575,PO
135,0.011940334874917302,0.02032649396774111,0.027705855413299063,0.036460607889275076,0.040381063594671085,0.04241270919211071,0.043330800075595644,0.043330800075595644,PO
149,0.016851645955928363,0.02534178710144719,0.03129152955268333,0.03662310797503554,0.039147522331160256,0.04024969492212094,0.040425056595421616,0.040425056595421616,PO
155,0.011752309946436945,0.017359944083155665,0.022613201216957868,0.026411063648988264,0.029108520713600816,0.03081100472604492,0.03248145391122448,0.03248145391122448,PO
156,0.018486346018875888,0.02902691436120164,0.03428364806578632,0.03802515987859045,0.041207812896429274,0.04409745863260406,0.04485054260781207,0.04485054260781207,PO
162,0.05030153458073783,0.06169366896867923,0.07252702632857855,0.07915745450568645,0.08433701413450656,0.08706682755112072,0.0882263491530354,0.0882263491530354,PO
168,0.019361136971102533,0.03243640116472113,0.04269122148586535,0.05101793179789593,0.055045124887182384,0.05618206029014383,0.056662187117550555,0.056662187117550555,PO
177,0.016214981828997166,0.025074973858889682,0.033443655203131306,0.03915847006095441,0.04149925561758794,0.04357824965350754,0.044534082407749254,0.044534082407749254,LD
182,0.04287294272784592,0.05829284889937436,0.07307454925867785,0.0831433659946953,0.08984419775047747,0.09094977853210329,0.09141824058913561,0.09141824058913561,LD
184,0.056306964424160055,0.0867022632796497,0.09485222430764828,0.09964133171928424,0.10325739178938242,0.10468557374289522,0.10502904402011959,0.10502904402011959,LD
192,0.022085907449705733,0.03598862640418676,0.04452832495189307,0.05351318850548181,0.059179031743491484,0.06032378646141523,0.06088180402640864,0.06088180402640864,LD
195,0.02434361219562453,0.03900227663261446,0.04403575462876386,0.04782483456808995,0.05090525042499827,0.052669544847733674,0.054282045854251226,0.054282045854251226,LD
198,0.08038621499948817,0.09237546479968473,0.10321605329289352,0.10836157619636833,0.11179703233430238,0.1130233880669852,0.11395444749606665,0.11395444749606665,LD
204,0.04650709436463285,0.06930350862568424,0.08528342904554909,0.09059306546222845,0.09509575952564464,0.09944155700384294,0.10068100956968795,0.10068100956968795,LD
205,0.04037471606998155,0.05692885011970905,0.06668066791737448,0.07036684729687193,0.07392107951968385,0.07546781016287907,0.07610013740509702,0.07610013740509702,LD
209,0.01018286977985905,0.016625769880668217,0.021466344968031237,0.024505440238349885,0.026627344488729388,0.02798915498437171,0.02880496474227856,0.02880496474227856,LD
211,0.017842288812715212,0.026260009984344967,0.03215390875295432,0.035462105134815514,0.03808386442903011,0.04033675249691493,0.04242720353309293,0.04242720353309293,LD
212,0.030507732795897247,0.03929623442063246,0.04588212946324022,0.050727981021849944,0.05325390228674287,0.054836137927756434,0.05538973890746346,0.05538973890746346,LD
220,0.04873292452929434,0.07806264270569141,0.09264958896683395,0.10758678995171289,0.11428446578091611,0.1187436628637567,0.11963930862330674,0.11963930862330674,LD
228,0.004110411838192385,0.007608751498866861,0.01020803229914291,0.012446718113361732,0.014380967522808485,0.015479446210020287,0.01612105408493536,0.01612105408493536,LD
231,0.0284311758516832,0.04673930360151901,0.06139395153544447,0.06860131065343533,0.07576732361782579,0.08192659792609946,0.0826489671328875,0.0826489671328875,LD
233,0.030633415301167366,0.0437853304230279,0.056479069873034415,0.06465865501860901,0.0674652475491948,0.07018378791624691,0.07232321332294134,0.07232321332294134,LD
246,0.026385327305905926,0.043814486435871935,0.055477451914372256,0.062087705007432326,0.06851680617364264,0.07500330089862517,0.07711530122519605,0.07711530122519605,LD
248,0.01462266622420838,0.022154080101656093,0.03059743178463281,0.03455331228181713,0.03844929479963621,0.04172438560411773,0.04378324071487616,0.04378324071487616,LD
253,0.0499279946961263,0.07358659768169051,0.08256812272032632,0.08993894453302775,0.09509352459672071,0.0993905840155247,0.09965466445975812,0.09965466445975812,LD
