,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
1,0.009546106646611374,0.01492849065544577,0.018713470362201168,0.021949182121867805,0.024824617484544564,0.02685770568754997,0.028408045729029108,0.028579821718288212,0.02857982171829676,0.02857982171830087,0.028579821718294873,0.028579821718294873,AON
20,0.0032910908444796494,0.006977262455979627,0.009035733042068395,0.01059411786406339,0.011879117066811773,0.012063859371816643,0.012271585416051112,0.012298702416141616,0.012298702416132401,0.012298702416134732,0.012298702416135399,0.012298702416135399,AON
26,0.006278780143052165,0.01207877689529524,0.015429211006145915,0.018015478290853926,0.021071840567925104,0.023126118607011525,0.02555283587976831,0.026196380653885964,0.026196380653885964,0.02619638065388019,0.02619638065388219,0.02619638065388219,AON
27,0.00887124239819792,0.016996889550955463,0.021467307596446883,0.02511482149026878,0.028423742487657444,0.03074227551428954,0.03294521556032948,0.03308607947311493,0.03308607947310416,0.03308607947310804,0.033086079473112706,0.033086079473112706,AON
28,0.017323298348012828,0.021960044965298242,0.02570368399635936,0.02822073682291515,0.0334352856321829,0.038442466305836365,0.040223300853469035,0.040264522336211916,0.04026452233621025,0.04026452233621314,0.040264522336219466,0.040264522336219466,AON
34,0.04539355805401901,0.05667228349879416,0.06637872964788072,0.07344136455032069,0.07905713000598302,0.08335849573458076,0.09401267504274413,0.09401662141238087,0.09401662141239542,0.09401662141238332,0.09401662141239486,0.09401662141239486,AON
41,0.017410747110794933,0.027189386002208216,0.03476548632417287,0.038901152504643544,0.04244231767049478,0.04388640384293707,0.04990630301616805,0.04992945901490742,0.04992945901492618,0.04992945901492318,0.04992945901492918,0.04992945901492918,AON
43,0.012164165666701088,0.04179975844437411,0.05130209611052028,0.05554038055072508,0.05791839003978594,0.059576264754855224,0.060789875933809245,0.061722714598472006,0.06172271459847056,0.061722714598477224,0.06172271459847267,0.06172271459847267,AON
46,0.014206288096587971,0.018113864691496673,0.02103356108420129,0.023826479593966776,0.025625191076876885,0.028802853094389014,0.029744487571102818,0.030488442035631946,0.03048844203563794,0.03048844203562906,0.030488442035633945,0.030488442035633945,AON
49,0.007513410877950877,0.016207545954100566,0.023572012839433,0.030766994701168393,0.03328952828107201,0.034677775974442104,0.035623518751439875,0.03592152651506608,0.03592152651506619,0.03592152651506275,0.03592152651506486,0.03592152651506486,AON
51,0.018358387123758257,0.024618164499622508,0.030996972405263112,0.03643407836915469,0.03993522962736207,0.04323651890361646,0.043991675160846566,0.044042070229446506,0.04404207022945228,0.0440420702294424,0.04404207022945017,0.04404207022945017,AON
52,0.005731857170932386,0.010938244980266187,0.015001226889268304,0.01685298085453535,0.018615372847841205,0.019910468082245947,0.020999881593366965,0.021230012178771296,0.021230012178774293,0.021230012178765745,0.021230012178762414,0.021230012178762414,AON
53,0.023577068222298325,0.032019500502781795,0.035730264152973645,0.038564269860493106,0.03978106181748298,0.042604667041299726,0.04282345935768672,0.04290948302954878,0.042909483029549556,0.04290948302955466,0.04290948302955744,0.04290948302955744,AON
56,0.007919913284043956,0.015445037229952274,0.021065378742053498,0.02440451437071045,0.02817563608632312,0.03125864261670508,0.03280328588727843,0.032923734231546486,0.03292373423154904,0.03292373423154871,0.03292373423155104,0.03292373423155104,AON
57,0.014467279066192495,0.023780667900184738,0.028970561266627004,0.03468753852688189,0.046751463871670174,0.048483755960342045,0.04855789650637676,0.04861475572155849,0.04861475572158347,0.048614755721590686,0.04861475572157481,0.04861475572157481,aco
