,neuron_id,motSVD_dim0,motSVD_dim1,motSVD_dim2,motSVD_dim3,motSVD_dim4,opto_boxcar,opto_offset,opto_onset,paw_motion,pupil_diameter,score,acronym,subject,date,pid
0,1,0.0010743614347156205,0.003419494351944996,0.006381973263643315,0.000989249054147212,0.0004999689897849935,3.2661493187813306e-07,0.00022245153039435195,0.0009179075280596471,4.640933884358933e-05,0.0030093468569898363,0.01656148896345544,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
1,5,0.0002679771304939793,1.0669491382064855e-05,0.00037545909512981535,0.00029207720927559855,0.00016879962751636945,1.4003506898507823e-07,9.403701009547127e-06,0.0013026658668677804,0.0001758654633908785,0.000261608445280781,0.0028646660654157996,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
2,15,0.00019885651358508838,7.278559133849782e-05,0.0006122628906436445,0.002232031410590807,0.00023871962832544558,0.00015797054908195385,0.00048603040898631544,0.0016344588557459794,0.0011016155066461142,0.0010170389706123384,0.007751770325556184,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
3,19,0.0006949447862568681,0.0028653275895291763,0.0023530510734517396,0.0014973048674263856,0.0006445218276183162,6.042559279739734e-05,0.0007157905634299633,0.001560455719463616,0.0015875988561250276,0.0013780257336171164,0.013357446609715606,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
4,23,0.0016282003313363713,0.003938798527392429,0.002236573561674393,0.0005083426415699588,0.004460894284562755,1.2291312431189638e-06,0.0018234094771746312,0.005971288137447739,0.00093809187166638,0.001357916183038932,0.022864744147106708,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
5,24,0.00016626819250054048,0.0005765165795084126,0.007384617726310494,0.0018340132213324756,0.000423115404507457,0.0004265373483031132,0.0001240341917969623,0.0007723586302177399,0.0002982592969205111,0.0012958417218027485,0.013301562313200455,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
6,31,0.0009711061648824959,0.0014562275280115555,0.0006467079183021252,0.0008637842435593734,0.0005868070092904798,0.00017928751172235913,0.003409361271836775,0.002086156466047373,0.0012716722100289957,0.013318789737353454,0.024789900061034986,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
7,33,0.016269816573461604,0.008575912224147997,0.000403440307534364,0.0007548926874637596,0.003263332884514969,0.0001418731417703878,0.0008200768746433607,0.005865516740810817,0.006215001463142689,0.0021773624000380742,0.044487225297528354,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
8,34,0.0003976381212630331,0.001524962124639373,0.006245249729000091,0.0026096764565438635,0.0007193915677675689,6.841131345569629e-05,0.0009215307637541192,0.000358745633012858,0.005225252915124434,0.0011465202452549672,0.019217378869816004,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
9,35,0.0024871722940071894,0.0011111459854341588,0.0003903451328298724,0.00013258435481988684,0.0017328526165280023,6.513599896529332e-05,0.0020722167819416937,0.00022359786654257974,0.00018512832795303247,6.763867652881395e-05,0.008467818035550523,PIR,ZFM-03330,2022-02-18,93e075b2-10bf-4fcd-8d5e-3e51b211672c
