,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,score,acronym
1,0.005295410985607929,0.010721632667481051,0.014113892923721894,0.017401004593416647,0.018242286364973714,0.01906871479519434,0.019565430608415202,0.019565430608415202,PIR
5,0.013801947622632538,0.02149530945800915,0.025940518264007117,0.02888361290415964,0.03164840356593468,0.03345277975951533,0.0334552816737449,0.0334552816737449,PIR
6,0.008146319686966774,0.015772293635272328,0.01901568683568322,0.021941642134044148,0.024891911750301476,0.027667389993972002,0.028547335049366462,0.028547335049366462,PIR
9,0.006131733910356041,0.010770262872412117,0.014268286673153718,0.017295482852677457,0.018997137973473355,0.020336427389740064,0.020399037352501703,0.020399037352501703,PIR
10,0.007953182767783784,0.01162966888216066,0.014401526676486087,0.017241732368504348,0.019611951719556542,0.02119799549310808,0.021284225632639098,0.021284225632639098,PIR
12,0.005258235525351429,0.008663897626816519,0.011702545467731196,0.013172400838336928,0.014561440709353057,0.01611183330169541,0.016846688213556393,0.016846688213556393,PIR
18,0.011984545027330595,0.015996337415857154,0.01763313203671979,0.018827169010400824,0.01979542149630631,0.020652215034757115,0.021590325074844596,0.021590325074844263,PIR
23,0.00889892202605913,0.014024167160653134,0.01763569077117111,0.02142802717194725,0.023086023267055555,0.023454040919935304,0.023667906557800933,0.023667906557800933,PIR
28,0.0067494718525151765,0.011586177839694178,0.01549767443863459,0.019192684173383934,0.022255415618071983,0.02514924096869897,0.02538537473356428,0.02538537473356428,PIR
34,0.04855233501611289,0.0588837121671576,0.06618672908954482,0.06995883695908223,0.07227901157691585,0.07296791931723656,0.0731699264080925,0.0731699264080925,PIR
38,0.005018645908714259,0.009876002010275386,0.013191702603991051,0.015862939382075725,0.01841634477685017,0.019590421670831804,0.020729786442958975,0.020729786442958975,PIR
40,0.004610392356060866,0.007887092858037903,0.01148418832630338,0.013967642887655618,0.015554329464327665,0.01706137687367537,0.01708026007687158,0.01708026007687158,PIR
48,0.005851166946603259,0.010278530462453972,0.014155870662950543,0.01628361998908412,0.018567766305170985,0.019499266785639624,0.01952173461147433,0.01952173461147433,PIR
55,0.009195181182371948,0.019250994334421345,0.026978067226091418,0.030286648263969096,0.034362489347445346,0.036869211507473576,0.03814328167475034,0.03814328167475034,PIR
57,0.005384605433963685,0.010843491946216699,0.014092702700000959,0.017306397707608556,0.018156815486252253,0.018982783074375176,0.019534610211986103,0.019534610211986103,PIR
58,0.004008205992696912,0.008140389743390597,0.01074389160980127,0.013461328068892997,0.015726200353754827,0.016852252354659925,0.017053323759902095,0.017053323759902095,PIR
63,0.01662592388096562,0.03741092176132932,0.04197579434533405,0.044701442222308985,0.04674851264148361,0.04859565020054135,0.05021239288477064,0.05021239288477064,PIR
65,0.015151498148097131,0.021534220725595854,0.02459299018606209,0.027610207597524083,0.030092890574925257,0.03212891126312134,0.03389174921065796,0.03389174921065796,PIR
66,0.004527360475714448,0.008196247406994428,0.010975777076103532,0.013329290032611851,0.014848793707328056,0.01578007564600936,0.01628997056201975,0.01628997056201975,PIR
68,0.003465214183751786,0.006659220024008761,0.009829307805112042,0.012916553344306081,0.015083771186637618,0.016315049719803243,0.016323524803114497,0.016323524803114497,PIR
74,0.007030564685223117,0.014216752661685761,0.019944103786322942,0.02336479468639152,0.026963936878123373,0.029949021176371438,0.030802313877868026,0.030802313877868026,EPv
78,0.03048964059243553,0.03847880989898822,0.042908194505405506,0.046886563813606896,0.04987499879943058,0.051656498586032606,0.05173535455124867,0.05173535455124867,EPv
80,0.008082150438124103,0.010852465003245215,0.012293534472619161,0.01383139819338286,0.015269570800455767,0.016271635471914014,0.01644210546064362,0.01644210546064362,EPv
87,0.00692614334221342,0.01218878378577326,0.015409819741406316,0.01854709614234984,0.019641660275876216,0.02055644147744362,0.020598706878706685,0.020598706878706685,EPv
90,0.005463806875671939,0.00984622788894518,0.014150144530335473,0.017828960406798378,0.021540802985911878,0.023197421386554007,0.023222736604087246,0.023222736604087246,EPv
91,0.027910140579408216,0.036726818553357576,0.04454863140950904,0.048623566235729276,0.05274323498029376,0.05543480594807204,0.056815816713858824,0.056815816713858824,EPv
92,0.007046675832161231,0.011463503958070942,0.013761096815630869,0.015813843932190763,0.017277677817960302,0.017946636121639048,0.018214387102688634,0.018214387102688634,EPv
95,0.0054268273059149275,0.008721647786486764,0.010932141838099207,0.013132766530042583,0.014269921267280772,0.015041407854285871,0.015605389050154517,0.015605389050154517,EPv
97,0.00980004382570343,0.013600444335477468,0.018393929273496035,0.02097087135948794,0.022905722448036125,0.02407553261057105,0.02484240793989656,0.02484240793989656,EPv
98,0.004260190005839659,0.006730045334839896,0.008976819407748637,0.010402986061456287,0.011654435914927541,0.012548637890910541,0.01255039906630595,0.01255039906630595,EPv
111,0.010879900817929333,0.016286617290021455,0.01847208521177668,0.020046688857562556,0.021475501480786474,0.022753705695556237,0.022842921266669314,0.022842921266669314,EPv
113,0.007152674065071585,0.012490735659859031,0.016314545193154673,0.019541597646044684,0.021291003843730394,0.022572048768171427,0.02264704736028844,0.02264704736028844,EPv
114,0.015369980594750254,0.020879876110954432,0.025116228175390498,0.027839742711271875,0.030479792808099204,0.033009791849858305,0.03301411242417818,0.03301411242417818,EPv
116,0.011299945154420898,0.018247319303013487,0.023234613190228015,0.026071989385163086,0.028589269099450254,0.029847171110285453,0.030479731227055495,0.030479731227055495,EPv
118,0.0073873240065938095,0.012778151977021035,0.01635346774152735,0.020278593225707464,0.023227374094549558,0.025796116818508463,0.025847136925506775,0.025847136925506775,EPv
119,0.007188397458815499,0.013168326502988381,0.01767080843023039,0.02181505868175082,0.024657176281689952,0.026824413934363522,0.026824523025781866,0.026824523025781866,EPv
123,0.03282357730731489,0.04075151984175296,0.04573316246979975,0.0479596934684936,0.049472008104369025,0.05075547504534206,0.05079281798054258,0.05079281798054258,BLAa
125,0.02803956602212243,0.04277425615009056,0.04600477130979952,0.048838703297578334,0.05096820738829477,0.052940587243581416,0.052948785242212026,0.052948785242212026,BLAa
126,0.023282393203646334,0.03293941877112905,0.039130140831447946,0.04259682183825353,0.04423864301361169,0.045608575743727786,0.04567019548232998,0.04567019548232998,BLAa
129,0.02390579365106793,0.04734712252360962,0.05485045251750231,0.05997399063805953,0.06165323821383473,0.06309320987908584,0.06430245491487196,0.06430245491487196,BLAa
133,0.016782384097974723,0.024466226687550052,0.028042080068569897,0.030763889659347843,0.03335956123767925,0.03438845863730766,0.03532014012346363,0.03532014012346307,BLAa
135,0.0063040592073025925,0.011938161671234182,0.01705240209097425,0.020786200010918132,0.024094206681466668,0.02702375939952395,0.027395930847259664,0.027395930847259664,BLAa
136,0.01707318125689028,0.025167110494703326,0.02919302980076921,0.03309461740296615,0.035304297571281396,0.03669328148587403,0.03759182659814975,0.03759182659814975,BLAa
137,0.009145220603164805,0.017991177459034002,0.021510247861923237,0.024914348429121325,0.027848570309391363,0.030587085036258066,0.032598375537517876,0.03259837553752143,BLAa
138,0.011936673624997618,0.019530976716219173,0.023893788123822257,0.02709088969326623,0.030155298202075298,0.032441618797167115,0.03251958483233819,0.03251958483233819,BLAa
140,0.016517604526839147,0.032635222715318934,0.03948395547062944,0.04330088032778445,0.04711229284475138,0.04968520870701998,0.052068100264549,0.052068100264549555,BLAa
141,0.015667071345116246,0.025369782333413138,0.031698227178804106,0.035787297128802686,0.03791054891014212,0.03905843653921115,0.039152501678530904,0.039152501678530904,BLAa
142,0.010648421696038302,0.01728566781015295,0.024267594418439287,0.027877728039873317,0.03083372968582887,0.03193952633174757,0.03194584853618376,0.03194584853618376,BLAa
