,subject,date,eid,probe,neuron_id,pid,region,task_responsive,task_roc,task_no_opto_roc,task_opto_roc,prior_roc,choice_no_stim_roc,choice_stim_roc,choice_stim_p,choice_no_stim_p,opto_modulated,prior_modulated,opto_mod_roc
0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,0,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.07824993725124596,-0.03598128759189123,-1.0719625751837825,0.005460125509596514,-0.015123528053567203,0.0041927710843374655,0.9543542280107293,0.8178092579121514,False,False,0.030854735332347172
1,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,2,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.12257969091756604,-0.13703720204945413,-1.2740744040989083,0.02638449910677476,0.015123528053567314,0.02197590361445778,0.7641655995674123,0.8178092579121514,False,False,-0.022598718121106143
2,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,4,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,0.033933629746495164,0.014355090220539157,-0.9712898195589217,-0.010856122028308213,-0.08924036019395065,0.029156626506023908,0.6905959713914409,0.1740448984026618,False,False,0.017883555196988032
3,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,6,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,0.0795855893004409,0.014782802405880924,-0.9704343951882382,-0.0020612889927167366,0.10282459786038634,-0.09344578313253016,0.20205369716950394,0.11729293596222957,False,False,0.07814082739455874
4,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,9,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.01430447488257025,-0.004802851414568821,-1.0096057028291376,-0.0491777747240163,0.05730008466097125,-0.013734939759036169,0.8512612003478013,0.3827707500845353,False,False,-0.08640580879386861
5,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,11,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.04645200616730605,-0.023720204945422152,-1.0474404098908443,0.060134670880857444,-0.07950434849534371,-0.032626506024096336,0.6560182633796698,0.22588744769315627,False,False,-0.07106808300838152
6,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,14,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.09032683136720576,-0.09028291378926256,-1.1805658275785251,0.1209381155237963,-0.06422689140306326,0.04375903614457832,0.5502412960774566,0.327919783092559,False,False,-0.06479315136031549
7,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,15,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.036925400695614785,-0.061243038538649985,-1.1224860770773,-0.0024552242224360477,-0.045755406757484796,0.0944096385542168,0.19743950391828924,0.4858325749222092,False,False,-0.04642553000761962
8,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,17,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.019508139409803005,-0.003234573401648455,-1.006469146803297,-0.010672896340066962,-0.00900484876471963,0.008000000000000007,0.9130311371728739,0.8909019177982541,True,False,-0.020725202814754873
9,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,20,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.08831887123955684,-0.14209846290933392,-1.2841969258186678,0.028189272135953347,0.029554375432925495,0.08655421686746978,0.23734912378940642,0.6525834252601668,False,False,0.022616646497243487
10,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,27,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.04806330452866725,-0.03907329026509254,-1.078146580530185,-0.009601026063853935,0.021511583160163328,-0.011855421686746914,0.8714237586010938,0.7431632435319295,False,False,0.018152480839047858
11,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,31,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,-0.21160000358564313,-0.20843840498997546,-1.416876809979951,-0.08121478631304091,0.00307858077426304,0.05922891566265065,0.41874902577982387,0.9625982282551395,False,False,-0.008282909775447322
12,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,32,fd4d4d6b-f2e3-464d-8604-084265d32b76,PIR,True,0.0665248843630104,0.053873914012029456,-0.8922521719759411,-0.06498099033484495,0.0022704533210189393,-0.09821686746987945,0.17996682585391865,0.9724115831613864,False,False,0.026668459504280317
