,Unnamed: 0,subject,date,eid,sert-cre,change_rate,time
42,8.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.4000000000000004,0.2249999999999999
43,9.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.1333333333333333,0.375
44,10.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.1333333333333337,0.5249999999999999
45,11.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.266666666666667,0.675
46,12.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.000000000000001,0.825
47,13.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.800000000000001,0.975
48,14.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.266666666666667,1.125
49,15.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.933333333333334,1.275
50,16.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.866666666666666,1.4249999999999998
51,17.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.333333333333333,1.575
52,18.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.7999999999999994,1.725
53,19.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.4000000000000004,1.875
54,20.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.0,2.025
55,21.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,5.6,2.175
56,22.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.333333333333333,2.325
57,23.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.266666666666667,2.475
58,24.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,1.2,2.625
59,25.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.733333333333333,2.775
60,26.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.333333333333333,2.925
61,27.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.2,3.075
62,28.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.6,3.225
63,29.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.2,3.375
64,30.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,2.2666666666666666,3.5249999999999995
65,31.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,3.1999999999999997,3.675
66,32.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.4,3.825
67,33.0,ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,1,4.133333333333334,3.975
68,0.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.7333333333333325,-0.975
69,1.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,4.533333333333334,-0.825
70,2.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.2,-0.675
71,3.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,4.4,-0.5249999999999999
72,4.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.866666666666666,-0.375
73,5.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.733333333333333,-0.2249999999999999
74,6.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.466666666666668,-0.075
75,7.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,4.8,0.075
76,8.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,7.466666666666668,0.2249999999999999
77,9.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,7.466666666666669,0.375
78,10.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.066666666666666,0.5249999999999999
79,11.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.733333333333333,0.675
80,12.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,4.933333333333334,0.825
81,13.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.200000000000001,0.975
82,14.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,4.666666666666668,1.125
83,15.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,3.466666666666667,1.275
84,16.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.0,1.4249999999999998
85,17.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.466666666666666,1.575
86,18.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.7333333333333325,1.725
87,19.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.4,1.875
88,20.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.666666666666666,2.025
89,21.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,7.200000000000001,2.175
90,22.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,8.533333333333335,2.325
91,23.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,7.733333333333332,2.475
92,24.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.666666666666665,2.625
93,25.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.733333333333333,2.775
94,26.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.266666666666667,2.925
95,27.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.999999999999999,3.075
96,28.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,3.6,3.225
97,29.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.333333333333332,3.375
98,30.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.0666666666666655,3.5249999999999995
99,31.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.4,3.675
100,32.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,6.133333333333334,3.825
101,33.0,ZFM-03332,2022-02-15,803dd5b6-248a-4811-b36b-d7070bbfa3a1,0,5.333333333333334,3.975
102,0.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.7610062893081764,-0.975
103,1.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.2641509433962264,-0.825
104,2.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.886792452830189,-0.675
105,3.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.7610062893081764,-0.5249999999999999
106,4.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.7610062893081764,-0.375
107,5.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.257861635220126,-0.2249999999999999
108,6.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,0.5031446540880503,-0.075
109,7.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.886792452830189,0.075
110,8.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.2578616352201255,0.2249999999999999
111,9.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.761006289308176,0.375
112,10.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.8867924528301887,0.5249999999999999
113,11.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.257861635220126,0.675
114,12.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,0.5031446540880503,0.825
115,13.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,0.7547169811320755,0.975
116,14.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.257861635220126,1.125
117,15.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.5094339622641513,1.275
118,16.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.515723270440252,1.4249999999999998
119,17.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.389937106918239,1.575
120,18.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,3.018867924528302,1.725
121,19.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.2641509433962264,1.875
122,20.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.389937106918239,2.025
123,21.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.8867924528301887,2.175
124,22.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.6352201257861636,2.325
125,23.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.138364779874214,2.475
126,24.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.3836477987421385,2.625
127,25.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.257861635220126,2.775
128,26.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,0.880503144654088,2.925
129,27.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,0.8805031446540882,3.075
130,28.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,0.5031446540880503,3.225
131,29.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.0125786163522013,3.375
132,30.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.3836477987421385,3.5249999999999995
133,31.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.3836477987421385,3.675
134,32.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,2.515723270440252,3.825
135,33.0,ZFM-03323,2022-04-05,731910b7-8e36-4599-be41-dddbb8c9b198,0,1.7610062893081764,3.975
136,0.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.133333333333333,-0.975
