,subject,date,eid,pid,sert-cre,region,to_down_peths,to_up_peths,time
0,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.28150770003521797,0.2138990122236324,-0.9
1,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.2789856540891048,0.18167539322470097,-0.7000000000000001
2,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.27073668295164555,0.23538135282027856,-0.5
3,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.18932582188478078,0.25289022041432974,-0.30000000000000004
4,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.1476207703562861,0.2049566563576255,-0.1
5,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.17804532239554063,0.16640477199243672,0.1
6,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.2350086492010536,0.18257157982325808,0.30000000000000004
7,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.316972000989193,0.23049636765996542,0.5
8,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.3622477828379306,0.29867044487137423,0.7000000000000001
9,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.2891747415452899,0.3532660416898546,0.9
10,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.18755782375438262,0.3448226277770048,1.1
11,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.19148836144564746,0.31340170182307814,1.3000000000000003
12,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.25610178001858513,0.3147707848216148,1.5
13,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.26766236917931646,0.2775573922907307,1.7000000000000002
14,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.26146399816035365,0.17717307788497538,1.9
15,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.2784198192819299,0.094757022288596,2.1
16,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.30399891160773984,0.15072084901872684,2.3000000000000003
17,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.2641052778585263,0.29009989938228,2.5
18,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.19018542490982832,0.32497178405284927,2.7
19,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.16419031904577858,0.2785292349024695,2.9000000000000004
20,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.1906149299898344,0.22143017123299455,3.1
21,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.26904780540810674,0.17369895816608516,3.3000000000000003
22,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.32235355561791823,0.19372987353175056,3.5
23,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.28870494054492885,0.27760092288648774,3.7
24,ZFM-04300,2022-09-22,cce8c6b0-2695-42d3-bc35-af35b4546c65,3ac05dd2-a294-4939-a837-93fe5ca543b6,0,Hippocampus,0.22116658284972612,0.2972319195377819,3.9000000000000004
0,ZFM-04300,2022-09-21,2457a923-5efb-42ba-80c2-a83a5b659e28,d47ad5d8-5c7e-4ec6-9a94-0d2a23033dda,0,Midbrain,0.24255156462181918,0.15159232183423207,-0.9
