,p_down,time,subject,pid,region
0,0.5800000000000001,-0.9,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
1,0.56,-0.7000000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
2,0.5800000000000001,-0.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
3,0.6,-0.30000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
4,0.72,-0.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
5,0.8,0.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
6,0.88,0.30000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
7,0.92,0.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
8,0.98,0.7000000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
9,0.94,0.9,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
10,0.98,1.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
11,0.98,1.3000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
12,1.0,1.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
13,1.0,1.7000000000000002,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
14,0.96,1.9,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
15,0.96,2.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
16,0.84,2.3000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
17,0.6799999999999999,2.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
18,0.54,2.7,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
19,0.5,2.9000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
