Hz,region,baseline,stim,ratio,subject,date,probe
58.59375,BC,-257.44153,-257.93915,0.9927851,ZFM-03330,2022-02-18,probe00
58.59375,Pir,-250.71198,-251.21939,0.9852852,ZFM-03330,2022-02-18,probe00
58.59375,Str,-255.0216,-259.87146,0.9792173,ZFM-03330,2022-02-18,probe00
61.03515625,BC,-257.4856,-257.747,0.99585795,ZFM-03330,2022-02-18,probe00
61.03515625,Pir,-251.62494,-255.63354,0.98605293,ZFM-03330,2022-02-18,probe00
61.03515625,Str,-257.52344,-258.42764,0.9930574,ZFM-03330,2022-02-18,probe00
63.4765625,BC,-258.0052,-259.42648,1.0052066,ZFM-03330,2022-02-18,probe00
63.4765625,Pir,-253.1907,-255.06494,1.0066309,ZFM-03330,2022-02-18,probe00
63.4765625,Str,-257.59378,-258.86154,0.9962795,ZFM-03330,2022-02-18,probe00
65.91796875,BC,-258.05283,-261.59912,0.9858625,ZFM-03330,2022-02-18,probe00
65.91796875,Pir,-254.8586,-256.82144,0.9887494,ZFM-03330,2022-02-18,probe00
65.91796875,Str,-260.41718,-258.99988,1.0044408,ZFM-03330,2022-02-18,probe00
68.359375,BC,-257.54236,-266.06488,0.98444223,ZFM-03330,2022-02-18,probe00
68.359375,Pir,-257.4585,-256.76913,1.0015314,ZFM-03330,2022-02-18,probe00
68.359375,Str,-260.39648,-261.85797,0.9970887,ZFM-03330,2022-02-18,probe00
70.80078125,BC,-258.85712,-262.8977,0.9871956,ZFM-03330,2022-02-18,probe00
70.80078125,Pir,-255.23853,-261.27063,0.98355114,ZFM-03330,2022-02-18,probe00
70.80078125,Str,-258.37274,-261.74097,0.99294007,ZFM-03330,2022-02-18,probe00
73.2421875,BC,-261.2055,-261.35883,0.9906676,ZFM-03330,2022-02-18,probe00
73.2421875,Pir,-256.68686,-259.07397,0.99630934,ZFM-03330,2022-02-18,probe00
73.2421875,Str,-262.08414,-264.44843,0.98859924,ZFM-03330,2022-02-18,probe00
75.68359375,BC,-264.39594,-266.84976,0.9851012,ZFM-03330,2022-02-18,probe00
75.68359375,Pir,-264.18155,-259.29547,1.0094719,ZFM-03330,2022-02-18,probe00
75.68359375,Str,-264.20306,-263.69733,1.0018625,ZFM-03330,2022-02-18,probe00
78.125,BC,-264.93658,-264.09717,0.9987754,ZFM-03330,2022-02-18,probe00
78.125,Pir,-258.7473,-259.79706,1.0009387,ZFM-03330,2022-02-18,probe00
78.125,Str,-265.30493,-264.4569,1.001935,ZFM-03330,2022-02-18,probe00
80.56640625,BC,-267.1206,-264.41275,0.99812925,ZFM-03330,2022-02-18,probe00
80.56640625,Pir,-262.14154,-259.54724,1.0043278,ZFM-03330,2022-02-18,probe00
80.56640625,Str,-266.72208,-264.9997,1.010644,ZFM-03330,2022-02-18,probe00
83.0078125,BC,-267.47986,-269.84485,0.9869871,ZFM-03330,2022-02-18,probe00
83.0078125,Pir,-263.01526,-263.23334,1.0102124,ZFM-03330,2022-02-18,probe00
83.0078125,Str,-269.1302,-265.83228,0.9988121,ZFM-03330,2022-02-18,probe00
85.44921875,BC,-268.84216,-266.64447,1.0008942,ZFM-03330,2022-02-18,probe00
85.44921875,Pir,-261.37305,-263.1676,1.0075204,ZFM-03330,2022-02-18,probe00
85.44921875,Str,-266.95132,-267.1533,0.9994589,ZFM-03330,2022-02-18,probe00
87.890625,BC,-269.5774,-269.8109,0.99760026,ZFM-03330,2022-02-18,probe00
87.890625,Pir,-263.9793,-264.34445,0.99461687,ZFM-03330,2022-02-18,probe00
87.890625,Str,-266.76288,-268.01395,0.99943435,ZFM-03330,2022-02-18,probe00
90.33203125,BC,-268.17047,-269.97867,0.98333734,ZFM-03330,2022-02-18,probe00
90.33203125,Pir,-261.10327,-261.77017,0.99950624,ZFM-03330,2022-02-18,probe00
90.33203125,Str,-265.7367,-267.28363,0.9939781,ZFM-03330,2022-02-18,probe00
92.7734375,BC,-267.50775,-269.4895,0.9994453,ZFM-03330,2022-02-18,probe00
92.7734375,Pir,-262.70306,-264.62582,0.9980539,ZFM-03330,2022-02-18,probe00
92.7734375,Str,-268.33224,-268.28503,1.0010824,ZFM-03330,2022-02-18,probe00
95.21484375,BC,-270.7028,-268.92645,1.0063393,ZFM-03330,2022-02-18,probe00
95.21484375,Pir,-266.05606,-261.2198,1.0007045,ZFM-03330,2022-02-18,probe00
95.21484375,Str,-270.5985,-269.36847,1.0050031,ZFM-03330,2022-02-18,probe00
97.65625,BC,-266.40256,-265.12238,1.0032042,ZFM-03330,2022-02-18,probe00
97.65625,Pir,-262.16464,-258.08313,1.0125258,ZFM-03330,2022-02-18,probe00
97.65625,Str,-266.3053,-264.33496,1.0093601,ZFM-03330,2022-02-18,probe00
100.09765625,BC,-258.47986,-258.36298,1.0026896,ZFM-03330,2022-02-18,probe00
