,subject,date,eid,region_1,region_2,region_pair,r_opto,r_spont_05,r_spont_95,time
0,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.10702946245299984,-0.3674216257397372,0.4738570746613542,-0.9
1,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.24116212228939163,-0.40465155623520566,0.567727009509915,-0.7000000000000001
2,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.16509345379678256,-0.34330593987889213,0.5137441758437625,-0.5
3,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.04530798291472028,-0.3881066045762013,0.4478931115486764,-0.30000000000000004
4,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.07650727767615602,-0.3949660372993067,0.5080912801146396,-0.1
5,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.04704351401109789,-0.38252410320440644,0.5242597770132185,0.1
6,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.42753184877962586,-0.36274463610078095,0.538894069405528,0.30000000000000004
7,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.07741901192433386,-0.3493382951917579,0.5077987287098409,0.5
8,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.08596617161418361,-0.4030649957480329,0.5604971359770304,0.7000000000000001
9,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.11664283637929536,-0.35047457681772365,0.5168599999499625,0.9
10,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.0015066755279654013,-0.3634467300903392,0.5519081564605993,1.1
11,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,-0.11687213729286385,-0.37327446703846884,0.5070711914591652,1.3000000000000003
12,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.15964896823471791,-0.35536054129520606,0.5241199015441944,1.5
13,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.06402635099441138,-0.37639512628875665,0.495545350543174,1.7000000000000002
14,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,SN,SC-SN,0.2494859930270373,-0.3894027852935871,0.5340679071741489,1.9
15,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,-0.08334816341223533,-0.3665225874572203,0.5402422140840761,-0.9
16,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,0.7518995410250744,-0.48998502352114004,0.44445024767860686,-0.7000000000000001
17,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,0.0378446570209531,-0.3822958583802903,0.5778884993775775,-0.5
18,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,-0.21238647460286705,-0.3831141114515323,0.5341632736114285,-0.30000000000000004
19,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,0.08621452681709599,-0.3585845137334813,0.5083531074513826,-0.1
20,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,-0.05791053907015308,-0.36720901833331104,0.4939637289225387,0.1
21,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,SC,Hipp,SC-Hipp,0.1400578949365003,-0.35781349211292235,0.45193351152799793,0.30000000000000004
