subject,date,eid,time,n_neurons,pca_dist,pca_dist_spont,pop_dist_opto,pca1,pca2,pca3,pca1_spont,pca2_spont,pca3_spont
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.99,43,3.6395910801393176,3.354939650987109,9.073092428013696,-1.1381175713448795,0.5799807106578938,-0.3020821366071157,-2.262035916220599,0.3174786200168757,-0.3891444647794403
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.97,43,3.356734300103012,3.808370907592858,8.23632654840872,-1.682082628943044,-0.2369222120522374,-0.03598460055940022,-2.3703509638738938,0.08358726973558563,-1.8013434392884198
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.95,43,3.2102467403753714,3.930790506650651,8.289398657111397,-1.6371375321218211,-0.567656452335531,-0.07584933470483414,-1.8640263379945137,0.15647439591283163,-1.9546396020037307
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.93,43,3.162982580124471,3.421446553031825,8.364173601419614,-1.5239311865097485,0.482047792743238,-1.2498897196603709,-1.5527009510181744,0.7760160734174413,-1.2243794250805122
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.91,43,3.847548734472826,3.7557824176250385,8.41780714513612,-1.4118656545634323,1.6126642523938837,-2.5693061943980386,-1.6359698211222282,2.2986102457324167,-1.3720070642930284
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.89,43,4.893284281294923,8.099692681833169,9.744087154317073,-1.4103338932093379,2.157259712508578,-2.883078206706602,-1.5572773515631593,5.678965616961328,-2.909003857557342
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.87,43,4.769311164881157,12.068775258214735,9.905339596315315,-1.9919948766540516,2.823276962462662,-2.1473192706009026,-1.1380377494165725,8.13452509387417,-3.9849540761568134
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.85,43,4.226777595879165,8.472192184386193,9.424770248869535,-2.8807942175130465,2.6530568705895883,-0.7819091008922701,-0.18018673057436815,6.378912491219576,-2.483485722811182
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.8300000000000001,43,4.002416187802356,3.566731472259258,7.621896749804922,-2.1524908627826904,1.466348453225613,0.16937575477749794,-0.45175160180031104,3.428029966029907,-0.37459176802241023
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.81,43,4.318824327253126,3.0689467094297,8.647426012229989,-0.9141060898815704,0.25003995364717146,0.27591020037865005,-1.8809251877922135,1.3849349004729448,0.2569857951337743
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.79,43,3.8535303997080748,3.4254125755344593,8.903832772840625,-1.5968647978953636,-0.5280945940342524,-0.14914631007720439,-2.868886316157561,1.8148819481819198,0.49112688485029443
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.77,43,3.4623211937843026,2.550846343798497,6.812676995464908,-2.8340741897433093,-0.23335905827282974,-0.8869576731409856,-2.226600177567153,2.635684411368813,0.1160274755288181
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.75,43,3.65840888067716,2.6282358439974636,8.162699288928502,-3.399191541142607,1.1659367999717438,-0.7844821058775068,-0.7644920418998892,1.8986365999679224,-0.11761482454319878
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.73,43,4.343538492176988,2.4938167368818465,9.59350411986037,-3.5715731815052436,2.2918107868191413,0.01844794410927591,-0.25443915471310213,1.42781659955379,-0.3433315033790892
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.71,43,4.431038205881934,2.769644995703584,7.849177768984957,-2.970023318998121,2.4029125774102527,0.008015204130839997,0.049711048524965024,2.4501289792715517,-0.42482765663101674
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.6900000000000001,43,3.6910676443441672,4.096301099436017,7.314878116684264,-2.099460396195257,1.7833585360941895,-0.5974314818781579,0.719041553805228,3.780239159873326,-0.10670793407474892
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.67,43,3.3556889159925736,3.7211543459681327,9.282591282795178,-2.0260607099735504,1.8293355998728993,-0.9590483477894303,0.36565146186874037,3.694864617608872,0.10333113796296282
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.65,43,4.007272119427052,2.036799881900463,10.642024047173903,-2.157831544564186,2.1320722282326985,-1.033329528540331,-0.8073395355509877,2.4295317671889336,0.004001509804046068
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.63,43,3.7872559646214246,2.5390341761793422,9.956331292883041,-1.7983977982600043,1.647236406479569,-0.9672555494119448,-2.199134930646439,1.4988979027200668,-0.217992800247507
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.61,43,3.385297502981834,3.6498185960304617,8.896456317912246,-0.6700882246543933,0.8924217355050039,-0.7650752422467791,-3.23178684274107,1.471098219586858,0.42681668013774904
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.59,43,4.346167756552771,2.4588715225567768,7.947218796608308,0.5450277492070082,-0.012006892530841041,-0.21892343081200927,-2.1198180991838407,1.232591866392576,1.1825818910724455
ZFM-04080,2022-07-06,08371a0c-22d9-4f6e-ac22-c15788b39180,-0.5700000000000001,43,4.711846165585343,1.5794548972744362,7.386089764410048,0.6637645139385953,-1.7565186943260194,0.6912941157098885,0.3532155020374729,0.9022101728662255,0.8189179664685057
