,subject,date,eid,sert-cre,region,to_down_peths,to_up_peths,time
0,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.06845323927245546,0.14864406199799796,-1.0499999999999998
1,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.12216097324660322,0.07858377716119748,-0.75
2,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.21057997884731042,0.12230711110798144,-0.44999999999999996
3,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.3743951779086126,0.07769129101278237,-0.15
4,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.2628076293530268,0.12097477188376678,0.15
5,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.29462982977539304,0.038848041717930534,0.44999999999999996
6,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.1583491271164715,0.001329147110362228,0.75
7,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.02855698505461127,1.1188799103182e-05,1.0499999999999998
8,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.0008956843366585503,0.001781783219808221,1.35
9,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,4.798496909943627e-06,0.054458871647165195,1.65
10,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.00044624520033930705,0.23987548118039753,1.95
11,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.013835444907894772,0.36965644173222406,2.25
12,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.0662268148055944,0.34509008647795647,2.55
13,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.10743463703260175,0.1735089188154721,2.8499999999999996
14,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.11889911445459,0.0822822920558105,3.15
15,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.19970628903725815,0.08051170006465742,3.4499999999999997
16,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.14628747238799758,0.12038558701036567,3.75
17,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,CNU,0.10905269964560205,0.14583803446660035,4.05
0,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.06888670265358361,0.10551630808586354,-1.0499999999999998
1,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.107005973970511,0.13392731670371738,-0.75
2,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.10728690250673896,0.05268188813906724,-0.44999999999999996
3,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.20043825094485965,0.0546050125455929,-0.15
4,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.3043253112630206,0.06622521692640686,0.15
5,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.2918190116432633,0.06622202177535892,0.44999999999999996
6,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.16011332759089875,0.05371731821273464,0.75
7,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.08094835313013475,0.026340147255937748,1.0499999999999998
8,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.05372371276648564,0.040332917609197244,1.35
9,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.013393995775059455,0.014732725301272702,1.65
10,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.0004446467136055832,0.05534017324842426,1.95
11,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,1.598486685053597e-06,0.2514940876820239,2.25
12,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,1.2148976623143206e-09,0.37025202176694677,2.55
13,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,1.5997014853728284e-06,0.22544286018091472,2.8499999999999996
14,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.0004478424720780265,0.09478060045730795,3.15
15,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.014280092228730166,0.054176347661253,3.4499999999999997
16,ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,1,Isocortex,0.07962240542279195,0.015169385655746642,3.75
