subject,date,eid,probe,pid,neuron_id,mod_index_low,mod_index_high,freq_band
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,0,-0.22399999999999998,0.13759999999999994,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,2,-0.12160000000000004,-0.11519999999999997,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,4,-0.019199999999999884,0.2128000000000001,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,6,0.08320000000000016,-0.028799999999999937,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,9,0.02400000000000002,-0.14879999999999993,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,11,-0.025600000000000067,-0.19679999999999997,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,14,-0.256,-0.32320000000000004,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,15,-0.10720000000000007,-0.28480000000000005,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,17,0.0016000000000000458,-0.0031999999999998696,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,20,0.017599999999999838,0.011200000000000099,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,27,0.04000000000000026,-0.057600000000000096,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,31,-0.14080000000000004,-0.12319999999999998,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,32,0.08479999999999999,0.025599999999999845,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,37,-0.0736,2.220446049250313e-16,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,43,0.15680000000000005,0.35040000000000004,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,47,-0.1280000000000001,-0.15839999999999987,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,48,0.039999999999999813,-0.20000000000000007,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,49,-0.3792,-0.2288,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,52,-0.10719999999999996,-0.21600000000000008,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,53,0.08160000000000012,-0.20320000000000005,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,54,0.1552,0.01760000000000006,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,59,0.07519999999999993,0.10240000000000005,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,61,0.0032000000000000917,-0.2911999999999999,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,62,0.2048000000000001,0.06719999999999993,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,64,0.2944,0.03200000000000003,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,65,-0.4736,-0.4496,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,66,0.22239999999999993,0.14880000000000004,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,67,0.09440000000000004,-0.19999999999999996,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,71,0.07520000000000016,-0.04159999999999997,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,72,-0.16000000000000003,-0.04160000000000008,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,74,-0.036800000000000166,-0.07200000000000006,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,75,-0.2896000000000001,-0.36639999999999995,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,76,-0.039999999999999925,0.1664000000000001,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,77,0.0928,-0.006400000000000072,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,83,-0.028800000000000048,0.10560000000000014,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,91,0.10719999999999996,-0.025599999999999845,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,93,-0.12959999999999994,-0.0928000000000001,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,95,0.2287999999999999,0.040000000000000036,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,98,-0.12159999999999993,-0.12319999999999987,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,99,-0.036799999999999944,0.040000000000000036,alpha
ZFM-04122,2022-05-13,8a1808ee-44ab-4572-b7ac-921a1af98748,probe00,fd4d4d6b-f2e3-464d-8604-084265d32b76,101,0.016000000000000014,-0.09759999999999991,alpha
