subject,date,pid,time,n_neurons,pca_dist
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.98,134,0.903698128960276
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.96,134,0.9225390490754368
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.94,134,0.7778876005858418
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.92,134,1.4938224794751214
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.9,134,1.2840260639288497
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.88,134,0.4529995165672195
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.86,134,0.8637867638125625
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.8400000000000001,134,1.8212216784760327
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.8200000000000001,134,2.0398288058070646
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.8,134,0.9148028856566046
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.78,134,1.5378006005788134
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.76,134,1.8486240157637779
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.74,134,1.4293432764270602
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.72,134,0.4312653201410029
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.7,134,0.510183337143103
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.68,134,0.4746312858159879
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.66,134,1.1569140361983814
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.64,134,1.2122952844946508
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.62,134,0.8258966938245572
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.6,134,0.838707389239791
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.5800000000000001,134,0.8427090814481784
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.56,134,0.7833727909525543
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.54,134,0.5966741320787062
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.52,134,0.03202896506757306
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.5,134,0.414563779587568
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.48,134,0.5782922238764623
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.45999999999999996,134,0.41725907919822736
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.44,134,0.39326493120817113
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.42000000000000004,134,0.4268708166282615
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.4,134,1.0096423151645302
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.38,134,1.2885531924683802
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.36,134,0.8057876054527511
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.33999999999999997,134,1.1291316901132562
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.32,134,0.9860441419851897
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.30000000000000004,134,0.2969960501314233
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.28,134,0.5348771059116021
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.26,134,0.41223139824723476
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.24,134,0.4876930713880932
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.22,134,1.2968563096617196
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.2,134,1.6893621534512657
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.18,134,1.8472979751655025
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.16,134,0.13130289274018112
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.14,134,1.2482165991324632
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.12,134,0.6112295228139671
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.1,134,0.5243717415869116
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.08,134,0.23803030506792436
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.060000000000000005,134,0.35906998936783047
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.04,134,1.429378018710504
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,-0.02,134,0.8400274402536945
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.0,134,1.6753723805550464
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.02,134,1.4475732438620976
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.04,134,1.128682346072068
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.060000000000000005,134,0.8887818403391684
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.08,134,0.34633191012651016
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.1,134,1.0669150370531892
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.12,134,1.5422606093615596
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.14,134,0.7274042112681975
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.16,134,1.3345944707681638
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.18,134,1.3728312621954346
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.2,134,0.6369553013775378
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.22,134,0.7133164576363558
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.24,134,1.0352378967611509
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.26,134,1.3741078056907903
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.28,134,1.208476719499163
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.30000000000000004,134,1.0797999249357586
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.32,134,1.4961354340313773
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.33999999999999997,134,1.878781313232684
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.36,134,1.2210613216830986
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.38,134,1.2757748683757804
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.4,134,0.6843498342646368
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.42000000000000004,134,0.40186933872598846
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.44,134,0.3711671540743871
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.45999999999999996,134,0.8794267772094899
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.48,134,1.976100761781722
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.5,134,1.5635798058829113
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.52,134,0.7541258161731254
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.54,134,0.9131113576967157
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.56,134,0.8951036056850774
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.5800000000000001,134,0.40821557857841084
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.6,134,0.5891662236681805
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.62,134,0.25894183950771144
