,subject,date,eid,region,pca_opto,pca_spont_mean,pca_spont_05,pca_spont_95,time
154,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,9.0,11.75,10.0,13.0,-0.1
155,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,11.65,10.0,13.0,0.1
156,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,11.73,10.0,13.0,0.30000000000000004
157,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,10.0,11.77,10.95,13.0,0.5
158,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,11.74,10.0,13.0,0.7000000000000001
159,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,12.0,11.87,10.0,13.0,0.9
160,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,12.1,10.0,14.0,1.1
161,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,11.92,10.0,14.0,1.3000000000000003
162,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,11.0,11.91,10.0,14.0,1.5
163,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,12.0,11.85,10.0,13.0,1.7000000000000002
164,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,mPFC,13.0,11.91,10.0,13.049999999999997,1.9
165,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,21.0,18.9,16.0,21.0,-0.9
166,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,20.0,19.14,17.0,21.0,-0.7000000000000001
167,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,17.0,19.12,17.0,21.0,-0.5
168,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,18.0,18.99,16.0,22.0,-0.30000000000000004
169,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,20.0,18.92,16.0,21.0,-0.1
170,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,19.0,18.96,16.0,22.0,0.1
