subject,date,pid,probe,region,time,n_neurons,pca_dist
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.98,32,0.2747962045746173
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.96,32,1.0731813767586702
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.94,32,1.1178185298751213
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.92,32,1.2901266635212807
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.9,32,1.6753774967664716
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.88,32,0.7990693729046796
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.86,32,1.1937851930789345
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.8400000000000001,32,1.1127803884405145
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.8200000000000001,32,1.3632791901719414
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.8,32,1.6330428606773209
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.78,32,0.9716556016521458
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.76,32,0.4359819152731293
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.74,32,0.6776233941639581
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.72,32,2.1728500305939082
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.7,32,2.058279164354699
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.68,32,0.8041254512991198
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.66,32,0.2922313276481614
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.64,32,0.40923390655181696
ZFM-04300,2022-09-22,3ac05dd2-a294-4939-a837-93fe5ca543b6,probe00,Hipp,-0.62,32,0.33555765386153763
