,r,r_baseline,time,region_1,region_2,region_pair,subject,n_region_1,n_region_2,eid,date,sert-cre
0,-0.02043868764812148,-0.07078182217584925,-0.975,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
1,-0.044275881411667016,-0.09461901593939478,-0.825,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
2,0.05270264075434282,0.0023595062266150574,-0.675,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
3,0.0990233914499863,0.04868025692225854,-0.5249999999999999,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
4,0.07640836950698586,0.026065234979258098,-0.375,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
5,0.05898696177799124,0.008643827250263476,-0.22499999999999998,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
6,0.12999514726457664,0.07965201273684888,-0.075,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
7,0.1079898337702927,0.057646699242564936,0.075,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
8,0.06177851060389553,0.01143537607616777,0.22499999999999998,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
9,0.12561455081853717,0.07527141629080941,0.375,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
10,0.14881064365215763,0.09846750912442986,0.5249999999999999,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
11,0.11763264631916878,0.06728951179144102,0.675,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
12,0.08218102255152229,0.03183788802379453,0.825,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
13,0.08542986872724567,0.03508673419951791,0.975,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
14,0.04617117253133805,-0.004171961996389709,1.125,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
