,r,r_baseline,time,region_1,region_2,region_pair,subject,n_region_1,n_region_2,eid,date,sert-cre
0,-0.05825464517151675,-0.10327958911627527,-0.95,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
1,-0.04381794580198553,-0.08884288974674405,-0.8500000000000001,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
2,-0.004465139270660978,-0.0494900832154195,-0.75,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
3,0.06123714390439608,0.01621219995963756,-0.6500000000000001,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
4,0.08709577192098103,0.04207082797622251,-0.55,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
5,0.06639810386111376,0.021373159916355244,-0.45,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
6,0.05106403494817595,0.0060390910034174294,-0.35000000000000003,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
7,0.0988898248570105,0.053864880912251986,-0.25,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
8,0.06053333474958998,0.015508390804831462,-0.15000000000000002,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
9,0.1315689554504812,0.08654401150572268,-0.05,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
10,0.10220857456464881,0.05718363061989029,0.05,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
11,0.054684254412641,0.00965931046788248,0.15000000000000002,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
12,0.029433812355771125,-0.015591131588987395,0.25,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
13,0.09232105274819259,0.04729610880343407,0.35000000000000003,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
14,0.1347291448957963,0.08970420095103777,0.45,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
15,0.1446338669469664,0.09960892300220787,0.55,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
16,0.07047486951184269,0.02544992556708417,0.6500000000000001,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
17,0.07783102949210147,0.03280608554734295,0.75,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
18,0.08081943287178761,0.03579448892702909,0.8500000000000001,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
19,0.11143510757215783,0.06641016362739931,0.95,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
20,0.0281353229417511,-0.016889621003007418,1.05,Periaqueductal gray,Raphe nucleus,Periaqueductal gray-Raphe nucleus,ZFM-02601,22,6,066bf23b-17a9-4a0a-84ac-097776a2ea4a,2021-11-19,1
