,log_likelihood,n_states,region,subject,pid
0,-45901.147838573066,2,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
1,-45825.9605284551,3,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
2,-45728.21610496952,4,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
3,-45625.82104711962,5,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
4,-45599.57285455774,6,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
5,-45566.20465974679,7,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
6,-45443.00897179077,8,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
7,-45436.00665276477,9,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
8,-45391.33858614946,10,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
9,-45424.91870548951,11,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
10,-45393.28549403216,12,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
11,-45393.19647936149,13,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
12,-45398.29561616531,14,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
13,-45372.26887356646,15,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
14,-45363.020476422826,16,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
15,-45382.57897349724,17,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
16,-45372.18287972347,18,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
17,-45324.37967650952,19,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
18,-45344.349554584296,20,Midbrain,ZFM-04811,0bdd7931-661f-452a-903f-6467a0661499
0,-39396.55961734066,2,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
1,-38835.50451619907,3,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
2,-38531.31202605352,4,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
3,-38582.98469195863,5,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
4,-38364.87790426543,6,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
5,-38236.22743179722,7,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
6,-38166.29529971205,8,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
7,-38104.90135129967,9,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
8,-38044.98195145046,10,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
9,-38011.23873875044,11,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
10,-37993.907700153875,12,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
11,-37924.36712691123,13,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
12,-37922.39903754119,14,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
13,-37859.054385998905,15,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
14,-37869.50516073869,16,Frontal,ZFM-04811,b7de18f4-31d4-4ec5-94ed-8303e9d17dcd
