subject,date,pid,probe,neuron_id
ZFM-02180,2021-05-18,4ad893e9-e699-417e-9559-b0014a8cedb9,probe00,841
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,65
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,269
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,389
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,388
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,283
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,284
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,354
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,356
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,383
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,436
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,459
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,161
ZFM-02180,2021-05-21,9c2db5c8-8f90-406c-a42b-4f2bbcb7ce21,probe00,430
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,19
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,20
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,30
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,31
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,68
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,69
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,94
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,104
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,105
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,255
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,256
ZFM-02600,2021-08-26,382684fb-7088-4d4c-83ca-486e93c342f0,probe00,287
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,0
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,24
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,364
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,557
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,625
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,627
ZFM-02600,2021-08-26,eead949d-45e5-46ae-9b1d-646b280b4ecf,probe01,628
ZFM-02600,2021-08-27,ff02e36b-95e9-4985-a6e3-ba2977063496,probe00,382
ZFM-02600,2021-08-27,ff02e36b-95e9-4985-a6e3-ba2977063496,probe00,406
ZFM-02600,2021-08-27,cc8dd669-7938-4594-868d-b8ca0663b69a,probe01,3
ZFM-02600,2021-08-27,cc8dd669-7938-4594-868d-b8ca0663b69a,probe01,4
ZFM-02600,2021-08-27,cc8dd669-7938-4594-868d-b8ca0663b69a,probe01,260
ZFM-02600,2021-08-27,cc8dd669-7938-4594-868d-b8ca0663b69a,probe01,261
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,23
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,51
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,109
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,120
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,201
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,202
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,203
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,205
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,206
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,207
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,208
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,209
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,210
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,220
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,232
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,234
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,242
